web-scraper-order,web-scraper-start-url,judul,rating,tahun,durasi,link,link-href,umur
1718339113-200,https://www.imdb.com/chart/top/?ref_=nv_mv_250,200. Sherlock Jr.,,1924,45m,200. Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_200,Approved
1718339113-201,https://www.imdb.com/chart/top/?ref_=nv_mv_250,201. How to Train Your Dragon,,2010,1h 38m,201. How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_201,Not Rated
1718339113-202,https://www.imdb.com/chart/top/?ref_=nv_mv_250,202. Jaws,,1975,2h 4m,202. Jaws,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_202,Not Rated
1718339113-203,https://www.imdb.com/chart/top/?ref_=nv_mv_250,203. The Third Man,,1949,1h 33m,203. The Third Man,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_203,Not Rated
1718339113-204,https://www.imdb.com/chart/top/?ref_=nv_mv_250,204. The Wages of Fear,,1953,2h 11m,204. The Wages of Fear,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_204,G
1718339113-205,https://www.imdb.com/chart/top/?ref_=nv_mv_250,205. Mary and Max,,2009,1h 32m,205. Mary and Max,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_205,Approved
1718339113-206,https://www.imdb.com/chart/top/?ref_=nv_mv_250,206. Wild Strawberries,,1957,1h 31m,206. Wild Strawberries,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_206,PG-13
1718339113-207,https://www.imdb.com/chart/top/?ref_=nv_mv_250,207. Ratatouille,,2007,1h 51m,207. Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_207,Not Rated
1718339113-208,https://www.imdb.com/chart/top/?ref_=nv_mv_250,208. Mr. Smith Goes to Washington,,1939,2h 9m,208. Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_208,R
1718339113-209,https://www.imdb.com/chart/top/?ref_=nv_mv_250,209. Ford v Ferrari,,2019,2h 32m,209. Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_209,Not Rated
1718339113-210,https://www.imdb.com/chart/top/?ref_=nv_mv_250,210. Tokyo Story,,1953,2h 16m,210. Tokyo Story,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_210,R
1718339113-211,https://www.imdb.com/chart/top/?ref_=nv_mv_250,211. The Big Lebowski,,1998,1h 57m,211. The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_211,PG
1718339113-212,https://www.imdb.com/chart/top/?ref_=nv_mv_250,212. The Seventh Seal,,1957,1h 36m,212. The Seventh Seal,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_212,R
1718339113-213,https://www.imdb.com/chart/top/?ref_=nv_mv_250,213. Room,,2015,1h 58m,213. Room,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_213,R
1718339113-214,https://www.imdb.com/chart/top/?ref_=nv_mv_250,214. Rocky,,1976,2h,214. Rocky,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_214,PG-13
1718339113-215,https://www.imdb.com/chart/top/?ref_=nv_mv_250,215. Logan,,2017,2h 17m,215. Logan,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215,R
